Target,Sample Name,qPCR predicted copies/uL (Mean),qPCR predicted copies/uL (Std Dev),SHERLOCKv1 predicted copies/uL (mean),SHERLOCKv1 predicted copies/uL (Std Dev),SHERLOCKv2 predicted copies/uL (Mean),SHERLOCKv2 predicted copies/uL (Std Dev)
WSSV,Pvan_001,1261101.25,48246.34,1776906.33723785,625688.619374774,5467145.19881147,1359933.11203543
WSSV,Pvan_002,1718498,50077.57,1669218.92664483,545295.368941084,4609541.44199916,1110242.96093093
WSSV,Pvan_003,14366123,4244339,9001832.7051047,7178704.30238971,96679789.0562029,6755260.04606467
WSSV,Pvan_004,813641.19,83353.48,349363.984246718,193391.569470651,1780740.14308833,525445.216455546
WSSV,Pvan_005,14909322,917087.06,11799814.9106504,6901524.77692343,77038795.4249771,9319605.55486362
WSSV,Pvan_006,245472.52,10655.48,329394.72432633,50657.3674368929,1162038.39958572,87541.3902694819
WSSV,Pvan_007,1989807,60248.59,2411408.40910297,601446.778169549,8350530.54370611,3014319.5283275
WSSV,Pvan_008,8500098,1241473.75,8461070.29477044,9651892.3708655,46890709.5978159,4588834.12531017
WSSV,Pvan_009,20427184,2885616.5,14534990.1702764,5324836.21294912,58414315.3142382,14373889.1075346
WSSV,Pvan_010,34825116,5418532.5,33151839.4026714,56799437.0105313,1292036201.15245,208554040.471462
TSV,Val.1,9448820.36840592,29459.5024399928,0,0,3666974.69457784,1240577.43919897
TSV,Val.10,4251.75435696332,252.515599111522,0,0,246.503929991112,162.620523495909
TSV,Val.12,20.0145452855492,6.87519590172888,0,0,NA,NA
TSV,Val.13,793198.661924422,26800.8785320194,0,0,83022.781055008,84986.2701135762
TSV,Val.14,4779.88136100637,1094.03896362289,0,0,0.836411494473668,0.85368339356229
TSV,Val.15,19474.1474112393,624.469741672909,0,0,520.340856114939,639.391258245796
TSV,Val.16,250289.759707712,9312.73383220977,0,0,225158.856955422,135312.568033057
TSV,Val.18,8488.77151816127,1668.77953131287,0,0,1435.48560414461,893.215878931083
TSV,Val.19,12984.5738874429,244.484391856078,0,0,1403.51658215048,716.63979238304
TSV,Val.2,647.464664584938,84.4176130793516,0,0,NA,NA
TSV,Val.20,4244.29432887066,1342.5863566847,0,0,469.900365412853,248.82323927821
TSV,Val.21,96172719.4689151,5849525.62066511,0,0,16669019.4488094,17751739.1261597
TSV,Val.22,33075.4245503679,1023.11675907358,0,0,283.73962502986,308.003265293367
TSV,Val.23,5701.93040992286,297.856470958596,0,0,522.630948091236,171.582989132162
TSV,Val.25,864.549881473255,98.8594243177787,0,0,NA,NA
TSV,Val.26,5214504.38494499,117015.333505612,0,0,1168056.43322125,1211323.70359397
TSV,Val.28,6021.62008877514,144.51547515701,0,0,6.07035140416335,4.02432301362166
TSV,Val.29,82264608.3255617,3938815.79688566,0,0,816313.871014531,232529.599333215
TSV,Val.30,18316.1449749424,82.7272170609782,0,0,139.848129606281,84.1664644782066
TSV,Val.31,5549.22331570832,295.345382282248,0,0,227.937411017635,117.414461475416
TSV,Val.32,104.40527042319,5.12073214801501,0,0,0.00104579111616351,0.000980739803037919
TSV,Val.33,5149.94961601221,526.003459150388,0,0,NA,NA
TSV,Val.34,3735.12050227157,312.358927231426,0,0,445.539779884954,241.543363891328
TSV,Val.35,30803660.6796671,1027489.06398744,0,0,6239838.00885871,7670933.83135995
TSV,Val.4,2039523802.27451,458395462.676523,0,0,171523702.726249,52581346.8309797
TSV,Val.5,9906995.50144774,376073.015891303,0,0,1131242.39961979,154845.622104124
TSV,Val.6,29425.1197115251,1009.75878830814,0,0,4000.36305633837,3286.55479572579
TSV,Val.7,2339.79906589121,251.795021817054,0,0,115.009663588588,79.8086654929609
TSV,Val.8,945.338120937351,184.39903811762,0,0,42.0015802918884,38.6088649661051
TSV,Val.9,9985.18781250778,458.613471598301,0,0,11.9807285896766,12.8805293706244
WSSV,Pvan_011,755.29,133.87,2281.54279561204,492.227140974033,1354.9972487037,1868.55000326358
WSSV,Pvan_020,285116.16,13440.42,44.091423317004,15.1627583318573,7085.49124365436,2078.22061450153
WSSV,Pvan_021,26514780,481846.59,12782848.2500101,13237136.1570691,62602087.92782,13390504.5941201
WSSV,Pvan_022,2378394.5,221400.8,13226061.5540668,26445331.4140454,140109.399364443,89870.2591564773
WSSV,Pvan_023,5684949,877728.44,10942413.0813634,21520314.197927,89051.8653175363,45108.3077031961
WSSV,Pvan_024,662213.5,104129.52,629611.518671751,1090265.60273383,365.933651863665,442.70756284006
WSSV,Pvan_025,714.86,130.02,9502.14493203887,18919.572724723,531.680818233429,461.952443287256
WSSV,Pvan_027,471.29,21.12,8036.45086793098,15629.7801891758,4571.29395590465,6643.8487274086
WSSV,Pvan_028,25092454,711439.94,40332523.8060084,69845123.7798567,30000013.1351859,12499625.0439112
WSSV,Pvan_029,38.11,0.71,34.3950383775668,1.73300366949977,NA,NA
WSSV,Pvan_012,825.26,87.39,1709.07199316097,788.835740898868,NA,NA
WSSV,Pvan_030,401.69,127.6,740.900041562799,1216.46054938693,1842.40610511486,387.469079554583
WSSV,Pvan_031,51570296,10850528,54938270.6354514,56418505.5255021,63016260.3359619,20629485.495662
WSSV,Pvan_032,327981.19,38229.46,135315.522024048,161675.664944027,132525.157693803,46161.9782800776
WSSV,Pvan_033,45211092,13916455,22713145.3549834,15334499.7793644,152120367.286405,40322972.9174787
WSSV,Pvan_034,2560871.5,455237.47,2179494.77115625,3745570.38839742,17598.1063647159,10033.6124582717
WSSV,Pvan_035,6992533,879068.81,5778090.78262414,9373828.13485332,13863.5279313777,6544.16359289079
WSSV,Pvan_013,984.16,521.7,2258.14637716895,840.017740945006,738.165251716322,544.706755679716
WSSV,Pvan_014,352.03,407.36,570.373780575379,185.808244106683,169.538618069687,168.218390884537
WSSV,Pvan_015,2769921,613732.06,2963397.81690594,185310.945701039,56621.7672360162,30254.245711077
WSSV,Pvan_016,3145114.25,296301.78,3008043.67209167,1440982.24911531,25501.1172161276,23491.1028780402
WSSV,Pvan_017,7378686.5,467776.59,3945336.83802284,311435.282506084,325062.986363204,374691.129244179
WSSV,Pvan_018,5524195,261646.83,12106948.8081894,24213010.0399323,51171.2665967169,57834.1861045905
WSSV,Pvan_019,58975944,12307867,61274590.1814874,120998437.401273,32490015.2073126,9313367.48393277
