* Barcode = NA
* Block Type = Fast 96-Well Block (0.1mL)
* Calibration Background is expired  = No
* Calibration Background performed on = 01-27-2021
* Calibration Normalization FAM-ROX is expired = No
* Calibration Normalization FAM-ROX performed on = 01-27-2021
* Calibration Normalization VIC-ROX is expired = No
* Calibration Normalization VIC-ROX performed on = 01-27-2021
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 01-27-2021
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 01-27-2021
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 01-27-2021
* Calibration ROI is expired  = No
* Calibration ROI performed on = 01-27-2021
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 01-27-2021
* Chemistry = TAQMAN
* Comment = NA
* Date Created = 11-30-2021 11:56:25 AM EST
* Date Modified = 11-30-2021 13:00:11 PM EST
* Experiment File Name = D:\Applied Biosystems\QuantStudio 12K Flex Software\User Files\experiments\2021-11-29 151203.eds
* Experiment Name = 2021-11-29 151203
* Experiment Run Start Time = 11-30-2021 19:47:19 PM EST
* Experiment Run Stop Time = 11-30-2021 20:50:44 PM EST
* Experiment Type = Standard Curve
* Instrument Name = 285881139
* Instrument Serial Number = 285881139
* Instrument Type = QuantStudio 12K Flex
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 1, Step 1
* User Name = NA

[Sample Setup]
Well	Well Position	Sample Name	Sample Color	Biogroup Name	Biogroup Color	Target Name	Target Color	Task	Reporter	Quencher	Quantity	Comments
1	A1	9215-1M	"RGB(176,23,31)"			Cas	"RGB(0,0,255)"	UNKNOWN	FAM	NFQ-MGB		
1	A1	9215-1M	"RGB(176,23,31)"			LAMP	"RGB(176,23,31)"	UNKNOWN	VIC	NFQ-MGB		
2	A2	9215-1M	"RGB(176,23,31)"			Cas	"RGB(0,0,255)"	UNKNOWN	FAM	NFQ-MGB		
2	A2	9215-1M	"RGB(176,23,31)"			LAMP	"RGB(176,23,31)"	UNKNOWN	VIC	NFQ-MGB		
3	A3	9215-1M	"RGB(176,23,31)"			Cas	"RGB(0,0,255)"	UNKNOWN	FAM	NFQ-MGB		
3	A3	9215-1M	"RGB(176,23,31)"			LAMP	"RGB(176,23,31)"	UNKNOWN	VIC	NFQ-MGB		
4	A4	9215-NTC	"RGB(0,0,255)"			Cas	"RGB(0,0,255)"	UNKNOWN	FAM	NFQ-MGB		
4	A4	9215-NTC	"RGB(0,0,255)"			LAMP	"RGB(176,23,31)"	UNKNOWN	VIC	NFQ-MGB		
5	A5	9215-NTC	"RGB(0,0,255)"			Cas	"RGB(0,0,255)"	UNKNOWN	FAM	NFQ-MGB		
5	A5	9215-NTC	"RGB(0,0,255)"			LAMP	"RGB(176,23,31)"	UNKNOWN	VIC	NFQ-MGB		
6	A6	9215-NTC	"RGB(0,0,255)"			Cas	"RGB(0,0,255)"	UNKNOWN	FAM	NFQ-MGB		
6	A6	9215-NTC	"RGB(0,0,255)"			LAMP	"RGB(176,23,31)"	UNKNOWN	VIC	NFQ-MGB		
7	A7	9216-1M	"RGB(0,139,69)"			Cas	"RGB(0,0,255)"	UNKNOWN	FAM	NFQ-MGB		
7	A7	9216-1M	"RGB(0,139,69)"			LAMP	"RGB(176,23,31)"	UNKNOWN	VIC	NFQ-MGB		
8	A8	9216-1M	"RGB(0,139,69)"			Cas	"RGB(0,0,255)"	UNKNOWN	FAM	NFQ-MGB		
8	A8	9216-1M	"RGB(0,139,69)"			LAMP	"RGB(176,23,31)"	UNKNOWN	VIC	NFQ-MGB		
9	A9	9216-1M	"RGB(0,139,69)"			Cas	"RGB(0,0,255)"	UNKNOWN	FAM	NFQ-MGB		
9	A9	9216-1M	"RGB(0,139,69)"			LAMP	"RGB(176,23,31)"	UNKNOWN	VIC	NFQ-MGB		
10	A10	9216-NTC	"RGB(255,127,0)"			Cas	"RGB(0,0,255)"	UNKNOWN	FAM	NFQ-MGB		
10	A10	9216-NTC	"RGB(255,127,0)"			LAMP	"RGB(176,23,31)"	UNKNOWN	VIC	NFQ-MGB		
11	A11	9216-NTC	"RGB(255,127,0)"			Cas	"RGB(0,0,255)"	UNKNOWN	FAM	NFQ-MGB		
11	A11	9216-NTC	"RGB(255,127,0)"			LAMP	"RGB(176,23,31)"	UNKNOWN	VIC	NFQ-MGB		
12	A12	9216-NTC	"RGB(255,127,0)"			Cas	"RGB(0,0,255)"	UNKNOWN	FAM	NFQ-MGB		
12	A12	9216-NTC	"RGB(255,127,0)"			LAMP	"RGB(176,23,31)"	UNKNOWN	VIC	NFQ-MGB		
13	B1	9217-1M	"RGB(139,137,112)"			Cas	"RGB(0,0,255)"	UNKNOWN	FAM	NFQ-MGB		
13	B1	9217-1M	"RGB(139,137,112)"			LAMP	"RGB(176,23,31)"	UNKNOWN	VIC	NFQ-MGB		
14	B2	9217-1M	"RGB(139,137,112)"			Cas	"RGB(0,0,255)"	UNKNOWN	FAM	NFQ-MGB		
14	B2	9217-1M	"RGB(139,137,112)"			LAMP	"RGB(176,23,31)"	UNKNOWN	VIC	NFQ-MGB		
