* Barcode = NA
* Block Type = Fast 96-Well Block (0.1mL)
* Calibration Background is expired  = No
* Calibration Background performed on = 02-18-2022
* Calibration Normalization FAM-ROX is expired = Yes
* Calibration Normalization FAM-ROX performed on = 01-27-2021
* Calibration Normalization VIC-ROX is expired = Yes
* Calibration Normalization VIC-ROX performed on = 01-27-2021
* Calibration Pure Dye FAM is expired = Yes
* Calibration Pure Dye FAM performed on = 01-27-2021
* Calibration Pure Dye ROX is expired = Yes
* Calibration Pure Dye ROX performed on = 01-27-2021
* Calibration Pure Dye VIC is expired = Yes
* Calibration Pure Dye VIC performed on = 01-27-2021
* Calibration ROI is expired  = No
* Calibration ROI performed on = 02-18-2022
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 01-27-2021
* Chemistry = TAQMAN
* Comment = NA
* Date Created = 02-23-2022 13:02:58 PM EST
* Date Modified = 02-23-2022 16:36:10 PM EST
* Experiment File Name = E:\2022-02-22 TSV high-low background.eds
* Experiment Name = 2022-02-22 TSV high-low background
* Experiment Run Start Time = 02-23-2022 23:14:49 PM EST
* Experiment Run Stop Time = 02-24-2022 00:48:46 AM EST
* Experiment Type = Standard Curve
* Instrument Name = 285881139
* Instrument Serial Number = 285881139
* Instrument Type = QuantStudio 12K Flex
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 1, Step 1
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	ROX	FAM	VIC
1	      A1	1	76,434.555	912,142.000	462,593.875
2	      A2	1	73,971.250	960,772.625	443,929.844
3	      A3	1	79,679.898	1,008,748.188	493,574.156
4	      A4	1	75,062.734	962,470.375	476,728.500
5	      A5	1	79,860.703	996,414.188	495,635.094
6	      A6	1	86,611.766	995,796.125	496,079.156
7	      A7	1			
8	      A8	1			
9	      A9	1			
10	      A10	1			
11	      A11	1			
12	      A12	1			
13	      B1	1	72,150.766	970,095.875	460,941.500
14	      B2	1	73,799.586	1,003,194.312	482,524.750
15	      B3	1	72,919.203	990,104.188	480,602.156
16	      B4	1	63,395.898	913,154.812	455,464.438
17	      B5	1	89,215.703	927,617.062	595,310.750
18	      B6	1	76,015.891	917,231.812	466,774.125
19	      B7	1			
20	      B8	1			
21	      B9	1			
22	      B10	1			
23	      B11	1			
24	      B12	1			
25	      C1	1	73,525.195	974,925.688	445,154.656
26	      C2	1	73,076.430	972,115.125	484,747.844
27	      C3	1	73,404.203	961,875.250	433,229.000
28	      C4	1	72,406.344	1,001,763.688	451,405.219
29	      C5	1	60,634.352	903,784.500	431,006.594
30	      C6	1	67,969.719	910,706.812	442,735.625
31	      C7	1			
32	      C8	1			
33	      C9	1			
34	      C10	1			
35	      C11	1			
36	      C12	1			
37	      D1	1	69,746.094	877,690.562	404,618.625
38	      D2	1	63,887.156	920,673.875	395,531.125
39	      D3	1	63,184.043	888,202.875	392,406.562
40	      D4	1	70,789.586	854,600.938	466,222.812
41	      D5	1	61,533.699	887,881.000	413,256.094
42	      D6	1	64,082.758	877,586.625	426,142.688
43	      D7	1			
44	      D8	1			
45	      D9	1			
46	      D10	1			
47	      D11	1			
48	      D12	1			
49	      E1	1	74,750.648	938,833.438	427,830.500
50	      E2	1	72,816.328	826,816.188	452,393.875
51	      E3	1	72,000.273	846,829.000	467,574.875
52	      E4	1	66,618.367	806,556.625	447,104.844
53	      E5	1	73,542.039	846,831.375	471,902.812
54	      E6	1	75,187.094	868,190.688	474,782.438
55	      E7	1			
56	      E8	1			
57	      E9	1			
58	      E10	1			
59	      E11	1			
60	      E12	1			
61	      F1	1	69,424.328	981,797.562	417,615.812
62	      F2	1	70,599.453	950,730.688	458,899.594
63	      F3	1	69,681.539	907,662.000	416,434.062
64	      F4	1			
65	      F5	1			
66	      F6	1			
67	      F7	1			
68	      F8	1			
69	      F9	1			
70	      F10	1			
71	      F11	1			
72	      F12	1			
73	      G1	1	51,616.043	859,515.125	371,136.906
74	      G2	1	71,029.422	887,539.875	403,662.375
75	      G3	1	66,279.602	862,233.062	403,544.875
76	      G4	1			
77	      G5	1			
78	      G6	1			
79	      G7	1			
80	      G8	1			
81	      G9	1			
82	      G10	1			
83	      G11	1			
84	      G12	1			
85	      H1	1	33,404.480	885,269.438	393,414.875
86	      H2	1	65,698.383	807,403.062	410,634.969
87	      H3	1	90,268.094	855,463.812	425,899.031
88	      H4	1			
89	      H5	1			
90	      H6	1			
91	      H7	1			
92	      H8	1			
93	      H9	1			
94	      H10	1			
95	      H11	1			
96	      H12	1			
1	      A1	2	75,841.906	1,131,739.250	467,162.562
2	      A2	2	73,571.562	1,175,151.000	446,967.250
3	      A3	2	79,422.875	1,237,692.125	497,832.688
4	      A4	2	74,934.539	1,181,884.500	481,760.688
5	      A5	2	79,677.242	1,220,747.250	500,264.188
6	      A6	2	86,273.234	1,216,541.125	501,352.438
7	      A7	2			
8	      A8	2			
9	      A9	2			
10	      A10	2			
11	      A11	2			
12	      A12	2			
13	      B1	2	72,054.141	1,200,858.250	464,182.594
14	      B2	2	73,432.680	1,237,622.875	485,991.844
15	      B3	2	72,543.539	1,221,137.750	484,200.750
16	      B4	2	63,297.129	1,133,318.250	458,690.938
17	      B5	2	91,071.516	1,141,312.375	614,794.875
18	      B6	2	76,180.508	1,128,598.750	472,426.219
19	      B7	2			
20	      B8	2			
21	      B9	2			
22	      B10	2			
23	      B11	2			
24	      B12	2			
25	      C1	2	73,256.578	1,198,553.500	447,635.062
26	      C2	2	72,808.148	1,197,750.000	488,798.188
27	      C3	2	73,285.156	1,181,503.125	434,396.438
28	      C4	2	72,364.977	1,226,803.375	453,658.375
29	      C5	2	60,822.988	1,112,528.375	434,314.688
30	      C6	2	67,690.938	1,123,452.125	445,325.969
31	      C7	2			
32	      C8	2			
33	      C9	2			
34	      C10	2			
35	      C11	2			
36	      C12	2			
37	      D1	2	69,389.102	1,083,800.125	407,547.469
38	      D2	2	63,027.449	1,135,903.625	396,269.219
39	      D3	2	62,897.746	1,098,015.500	393,868.594
40	      D4	2	70,440.977	1,052,900.000	469,530.125
41	      D5	2	61,254.176	1,092,966.500	414,472.812
42	      D6	2	63,895.281	1,083,511.375	428,124.969
43	      D7	2			
44	      D8	2			
45	      D9	2			
46	      D10	2			
47	      D11	2			
48	      D12	2			
49	      E1	2	74,484.469	1,159,125.750	429,318.156
50	      E2	2	72,189.117	1,022,300.438	455,753.531
51	      E3	2	71,881.523	1,040,694.250	470,340.062
52	      E4	2	66,151.953	1,000,363.688	452,994.156
53	      E5	2	73,156.812	1,045,528.438	475,504.094
54	      E6	2	74,692.977	1,070,708.875	476,950.750
55	      E7	2			
56	      E8	2			
57	      E9	2			
58	      E10	2			
59	      E11	2			
60	      E12	2			
61	      F1	2	68,973.359	1,205,273.250	417,825.188
62	      F2	2	69,933.828	1,159,983.125	461,427.031
63	      F3	2	69,263.438	1,112,508.625	418,458.500
64	      F4	2			
65	      F5	2			
66	      F6	2			
67	      F7	2			
68	      F8	2			
69	      F9	2			
70	      F10	2			
71	      F11	2			
72	      F12	2			
73	      G1	2	50,683.777	1,055,114.125	371,343.844
