* Barcode = NA
* Block Type = Fast 96-Well Block (0.1mL)
* Calibration Background is expired  = No
* Calibration Background performed on = 02-24-2022
* Calibration Normalization FAM-ROX is expired = No
* Calibration Normalization FAM-ROX performed on = 02-24-2022
* Calibration Normalization VIC-ROX is expired = No
* Calibration Normalization VIC-ROX performed on = 02-24-2022
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 02-24-2022
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 02-24-2022
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 02-24-2022
* Calibration ROI is expired  = No
* Calibration ROI performed on = 02-24-2022
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 02-24-2022
* Chemistry = TAQMAN
* Comment = NA
* Date Created = 04-27-2022 15:15:13 PM EDT
* Date Modified = 04-27-2022 16:49:39 PM EDT
* Experiment File Name = D:\Applied Biosystems\QuantStudio 12K Flex Software\User Files\experiments\2022-04-27_TSV_false positive-2.eds
* Experiment Name = 2022-04-27_TSV_false positive-2
* Experiment Run Start Time = 04-27-2022 23:32:50 PM EDT
* Experiment Run Stop Time = 04-28-2022 01:06:17 AM EDT
* Experiment Type = Standard Curve
* Instrument Name = 285881139
* Instrument Serial Number = 285881139
* Instrument Type = QuantStudio 12K Flex
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 1, Step 1
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	ROX	FAM	VIC
1	      A1	1	62,982.902	319,901.812	403,863.281
2	      A2	1	62,302.305	331,413.625	390,915.656
3	      A3	1	60,532.426	334,508.125	427,144.594
4	      A4	1	75,572.055	363,071.375	500,070.562
5	      A5	1	71,480.023	373,434.500	467,626.875
6	      A6	1	65,957.398	359,408.250	445,357.094
7	      A7	1	80,642.422	437,222.062	531,435.812
8	      A8	1	82,285.391	440,259.688	544,118.250
9	      A9	1	81,627.336	443,019.969	535,154.750
10	      A10	1	84,804.383	468,570.000	577,913.500
11	      A11	1	102,636.133	452,689.562	694,764.625
12	      A12	1	94,447.852	428,575.562	660,963.812
13	      B1	1	58,056.734	327,845.844	405,962.094
14	      B2	1	71,625.242	356,319.938	448,431.875
15	      B3	1	74,731.445	401,487.969	498,613.938
16	      B4	1	66,619.258	373,499.562	468,852.625
17	      B5	1	67,412.688	372,690.062	479,171.281
18	      B6	1	72,923.016	402,387.281	514,514.062
19	      B7	1	79,403.273	440,343.562	532,319.000
20	      B8	1	79,459.188	441,839.031	528,758.625
21	      B9	1	77,609.109	437,471.312	547,697.125
22	      B10	1	77,944.000	447,557.281	520,753.438
23	      B11	1	89,908.938	389,028.781	596,984.875
24	      B12	1	104,801.242	482,260.938	656,564.062
25	      C1	1	71,299.414	283,356.625	427,160.031
26	      C2	1	61,442.426	313,028.188	447,484.688
27	      C3	1	63,281.734	331,321.688	427,391.812
28	      C4	1	55,388.855	330,015.469	502,390.625
29	      C5	1	77,892.406	405,516.531	534,756.875
30	      C6	1	67,135.336	375,627.906	527,283.875
31	      C7	1	61,533.379	356,280.188	506,149.250
32	      C8	1	77,183.109	416,550.250	524,488.625
33	      C9	1	76,409.320	412,776.906	528,142.375
34	      C10	1	79,386.562	440,013.188	481,733.844
35	      C11	1	93,434.164	428,803.375	679,991.938
36	      C12	1	98,764.008	455,301.312	637,513.438
37	      D1	1	60,938.582	330,333.750	392,642.438
38	      D2	1	68,406.328	354,197.719	435,944.344
39	      D3	1	62,782.602	322,900.312	437,143.750
40	      D4	1	67,844.805	355,280.719	466,363.906
41	      D5	1	79,252.516	417,556.188	530,979.312
42	      D6	1	76,959.211	412,249.625	525,082.688
43	      D7	1	82,780.375	429,122.250	553,132.812
44	      D8	1	78,400.312	422,646.875	512,740.812
45	      D9	1	79,306.602	430,317.406	521,244.344
46	      D10	1	63,936.766	354,922.094	418,416.969
