date,virus,Sample Name,template,num_reps,median,count,at_least_3CTvals,Well,Well Position,CT,Replicate,sample_type,medDist1_method,count2,at_least_3CTvals_aftOut
02-09,WSSV,Pvan010_1e1_VP28.31t,Pvan010,5,16.587666,1,remove,63,F3,NA,3,UNK,NA,NA,NA
02-09,WSSV,Pvan010_1e1_VP28.31t,Pvan010,5,16.587666,1,remove,64,F4,16.587666,4,UNK,NA,NA,NA
02-09,WSSV,Pvan010_1e1_VP28.31t,Pvan010,5,16.587666,1,remove,65,F5,NA,5,UNK,NA,NA,NA
02-09,WSSV,Pvan010_1e1_VP28.31t,Pvan010,5,16.587666,1,remove,61,F1,NA,1,UNK,NA,NA,NA
02-09,WSSV,Pvan010_1e1_VP28.31t,Pvan010,5,16.587666,1,remove,62,F2,NA,2,UNK,NA,NA,NA
02-09,WSSV,Pvan010_1e2_VP28.31t,Pvan010,5,10.096956,5,keep,49,E1,10.096956,1,UNK,keep,3,keep
02-09,WSSV,Pvan010_1e2_VP28.31t,Pvan010,5,10.096956,5,keep,50,E2,9.67023,2,UNK,keep,3,keep
02-09,WSSV,Pvan010_1e2_VP28.31t,Pvan010,5,10.096956,5,keep,51,E3,12.298744,3,UNK,remove,3,NA
02-09,WSSV,Pvan010_1e2_VP28.31t,Pvan010,5,10.096956,5,keep,53,E5,15.1933155,5,UNK,remove,3,NA
02-09,WSSV,Pvan010_1e2_VP28.31t,Pvan010,5,10.096956,5,keep,52,E4,9.822733,4,UNK,keep,3,keep
02-09,WSSV,Pvan010_1e3_VP28.31t,Pvan010,5,9.337733,5,keep,38,D2,7.5609674,2,UNK,remove,2,NA
02-09,WSSV,Pvan010_1e3_VP28.31t,Pvan010,5,9.337733,5,keep,40,D4,9.337733,4,UNK,keep,2,remove
02-09,WSSV,Pvan010_1e3_VP28.31t,Pvan010,5,9.337733,5,keep,41,D5,10.6366625,5,UNK,remove,2,NA
02-09,WSSV,Pvan010_1e3_VP28.31t,Pvan010,5,9.337733,5,keep,37,D1,11.485743,1,UNK,remove,2,NA
02-09,WSSV,Pvan010_1e3_VP28.31t,Pvan010,5,9.337733,5,keep,39,D3,8.36249,3,UNK,keep,2,remove
02-09,WSSV,Pvan010_1e4_VP28.31t,Pvan010,5,8.167411,5,keep,26,C2,7.9012384,2,UNK,keep,5,keep
02-09,WSSV,Pvan010_1e4_VP28.31t,Pvan010,5,8.167411,5,keep,27,C3,8.167411,3,UNK,keep,5,keep
02-09,WSSV,Pvan010_1e4_VP28.31t,Pvan010,5,8.167411,5,keep,29,C5,7.692243,5,UNK,keep,5,keep
02-09,WSSV,Pvan010_1e4_VP28.31t,Pvan010,5,8.167411,5,keep,25,C1,8.585313,1,UNK,keep,5,keep
02-09,WSSV,Pvan010_1e4_VP28.31t,Pvan010,5,8.167411,5,keep,28,C4,8.780181,4,UNK,keep,5,keep
02-09,WSSV,Pvan010_1e5_VP28.31t,Pvan010,5,7.0165963,5,keep,15,B3,6.9950447,3,UNK,keep,5,keep
02-09,WSSV,Pvan010_1e5_VP28.31t,Pvan010,5,7.0165963,5,keep,17,B5,7.154248,5,UNK,keep,5,keep
02-09,WSSV,Pvan010_1e5_VP28.31t,Pvan010,5,7.0165963,5,keep,13,B1,7.0165963,1,UNK,keep,5,keep
02-09,WSSV,Pvan010_1e5_VP28.31t,Pvan010,5,7.0165963,5,keep,14,B2,6.697245,2,UNK,keep,5,keep
02-09,WSSV,Pvan010_1e5_VP28.31t,Pvan010,5,7.0165963,5,keep,16,B4,7.029218,4,UNK,keep,5,keep
02-09,WSSV,Pvan010_1e6_VP28.31t,Pvan010,5,6.0151176,5,keep,1,A1,6.0151176,1,UNK,keep,5,keep
02-09,WSSV,Pvan010_1e6_VP28.31t,Pvan010,5,6.0151176,5,keep,4,A4,6.119855,4,UNK,keep,5,keep
02-09,WSSV,Pvan010_1e6_VP28.31t,Pvan010,5,6.0151176,5,keep,2,A2,6.0067368,2,UNK,keep,5,keep
02-09,WSSV,Pvan010_1e6_VP28.31t,Pvan010,5,6.0151176,5,keep,3,A3,6.1431117,3,UNK,keep,5,keep
